TIME,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Total
01:00,314,215,42,36,11,1,0,19,9,1,4,1,0,0,41,694
02:00,284,179,22,20,3,2,0,10,17,0,6,0,0,0,17,560
03:00,255,143,26,21,1,2,0,12,5,0,4,0,0,0,18,487
04:00,228,141,24,21,6,3,0,14,9,0,2,0,0,0,15,463
05:00,237,151,13,25,5,8,0,13,9,0,0,0,0,0,20,481
06:00,251,191,28,34,14,4,0,9,16,0,0,0,0,0,27,574
07:00,380,267,38,35,18,7,0,7,17,0,8,1,0,0,45,823
08:00,400,350,47,65,13,2,0,24,46,2,14,0,0,0,45,1008
09:00,406,405,65,56,21,6,0,34,51,1,12,0,0,0,43,1100
10:00,428,437,83,70,14,4,0,37,47,2,14,0,0,0,50,1186
11:00,363,560,98,71,12,10,0,41,36,2,21,1,0,0,46,1261
12:00,366,512,86,80,22,0,1,45,54,3,32,1,0,0,41,1243
13:00,419,479,93,67,18,1,0,39,48,3,18,0,0,0,12,1197
14:00,337,561,88,84,16,4,0,33,44,4,23,0,0,0,14,1208
15:00,219,480,109,82,14,4,2,31,34,2,29,0,0,0,15,1021
16:00,321,439,99,79,14,3,0,43,48,4,21,1,0,0,27,1099
17:00,335,495,105,68,10,0,0,42,48,2,29,3,0,0,48,1185
18:00,357,453,105,78,16,2,1,38,63,0,25,0,0,0,22,1160
19:00,376,527,77,62,13,2,0,36,53,1,17,1,0,0,17,1182
20:00,431,521,72,62,15,5,0,28,57,2,9,0,0,0,19,1221
21:00,425,579,93,72,5,2,0,39,57,4,17,1,0,0,19,1313
22:00,461,379,87,57,6,4,0,35,70,3,9,1,0,0,9,1121
23:00,421,315,63,47,7,1,0,16,30,2,11,1,0,0,18,932
24:00,384,217,43,32,7,1,0,18,18,0,7,0,0,0,40,767
